objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237668496858350358,182.514147404233,18.5164663130342,25.4026,22.58789,22.37416,22.78574,22.06196,1.08364,0.1375246,0.2042615,0.4572533,0.7191502
1237668496858349651,182.505968088256,18.5224936010197,19.3701,17.94439,17.40689,17.14063,17.0333,0.0351266,0.005989577,0.005279629,0.005815285,0.01340471
1237668496858349895,182.497781814582,18.5258137503065,21.51945,20.3946,20.20157,20.11218,19.94135,0.1859488,0.02545294,0.0340844,0.04862497,0.1457707
1237668496858349897,182.499603295312,18.5260681393525,25.81034,23.01595,22.63633,24.5132,21.82902,0.8565652,0.2095529,0.2702714,1.064395,0.6577418
1237668496858349634,182.497379000812,18.5300751681325,18.27469,17.07545,16.93477,16.88783,16.88003,0.01787496,0.004420955,0.00438732,0.005183652,0.01209123
1237668496858350315,182.501084478951,18.5243422609437,26.32224,23.06258,22.80315,22.46671,21.14475,0.5382833,0.2057942,0.2992095,0.3508959,0.3665739
1237668496858350300,182.499865702927,18.5220837017123,22.64971,21.73522,21.24941,21.48334,21.65914,0.479827,0.07206233,0.08026596,0.1566086,0.5971202
1237668496858349661,182.513301719999,18.5243393778212,19.94045,18.50794,18.01727,17.78804,17.64218,0.05191272,0.007721804,0.007149114,0.008147318,0.0201423
1237668496858349648,182.512498112977,18.5205463409893,19.32832,17.88524,17.34603,17.1056,16.95311,0.03427275,0.005837048,0.005137119,0.005706556,0.0127207
1237668625695768708,182.514962743511,18.5352030533361,18.35042,17.08224,17.18693,17.31278,17.62493,0.01625304,0.005136592,0.005319147,0.006323011,0.01620053
1237668625695768735,182.507590052271,18.5353462517242,18.33778,17.23783,17.49159,17.69544,17.95319,0.016255,0.005262217,0.005791593,0.007479471,0.02082231
1237668625695768732,182.510294996374,18.5344252301711,18.16325,17.11064,17.39126,17.68485,17.92736,0.01483993,0.00506755,0.005584401,0.00732561,0.01985002
1237668625695768730,182.508301499585,18.534586792276,19.51344,17.65518,17.17113,17.41653,18.70509,0.03110148,0.006611608,0.00609032,0.007766353,0.033473
