objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237668496858350300,182.514147404233,18.5164663130342,25.4026,22.58789,22.37416,22.78574,22.06196,1.08364,0.1375246,0.2042615,0.4572533,0.7191502
1237668496858349600,182.505968088256,18.5224936010197,19.3701,17.94439,17.40689,17.14063,17.0333,0.0351266,0.005989577,0.005279629,0.005815285,0.01340471
1237668496858349800,182.504320666198,18.5154590390125,23.40542,21.84731,21.54228,21.68637,21.08287,0.8308508,0.07402071,0.09939139,0.1766132,0.3485515
1237668496858349800,182.497781814582,18.5258137503065,21.51945,20.3946,20.20157,20.11218,19.94135,0.1859488,0.02545294,0.0340844,0.04862497,0.1457707
1237668496858349800,182.499603295312,18.5260681393525,25.81034,23.01595,22.63633,24.5132,21.82902,0.8565652,0.2095529,0.2702714,1.064395,0.6577418
1237668496858349600,182.497379000812,18.5300751681325,18.27469,17.07545,16.93477,16.88783,16.88003,0.01787496,0.004420955,0.00438732,0.005183652,0.01209123
1237668496858349800,182.494771622072,18.5153446318122,22.39216,21.86939,21.52764,21.37316,21.61609,0.3992141,0.08382963,0.1069535,0.1470895,0.6046416
1237668496858349800,182.501998449976,18.5165054546089,22.93677,21.53492,21.04612,20.91935,21.53668,0.5908579,0.06011481,0.06688163,0.09295721,0.5296461
1237668496858349800,182.499300355137,18.5151934607442,22.82763,21.06167,24.79982,24.36141,22.82645,0.5469677,0.04079366,1.051055,1.096875,0.9617136
1237668496858349800,182.502993559693,18.5162452151559,21.77725,20.75406,20.6123,20.54894,20.38873,0.2139834,0.03114425,0.04481551,0.06505274,0.1932579
1237668496858350300,182.501084478951,18.5243422609437,26.32224,23.06258,22.80315,22.46671,21.14475,0.5382833,0.2057942,0.2992095,0.3508959,0.3665739
1237668496858350300,182.498819488401,18.5230273433451,24.58538,22.23845,21.94925,21.81997,22.3804,1.416071,0.1045917,0.1441348,0.2041042,0.8559625
1237668496858350300,182.498689419528,18.5208509046285,22.28953,21.06179,20.67622,20.91217,20.12672,0.4357825,0.05143248,0.06043544,0.1194486,0.2134705
1237668496858350300,182.499865702927,18.5220837017123,22.64971,21.73522,21.24941,21.48334,21.65914,0.479827,0.07206233,0.08026596,0.1566086,0.5971202
1237668496858350300,182.49130212164,18.526349686251,22.96847,21.60478,21.39968,21.37585,20.82143,0.6859235,0.07146178,0.1019586,0.1605182,0.3441288
1237668496858350300,182.489394045071,18.5280277720301,23.76723,21.27388,20.86233,20.88167,20.50779,1.2272,0.05364799,0.06387965,0.1028458,0.2587133
