objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237670964308410645,132.682877606527,11.7419789168594,15.91818,14.44294,13.90157,13.69264,13.64947,0.005045314,0.003013452,0.003452555,0.003600059,0.003813526
1237670964308410648,132.681039229036,11.7420077639344,22.84311,21.98003,21.3345,20.98295,21.03408,0.3806247,0.08296464,0.06768309,0.07437052,0.2600548
1237670964308410650,132.677606110575,11.7395584856666,25.0834,25.00863,21.98703,21.59964,22.856,0.8668028,0.6499757,0.1162577,0.1264566,0.6812461
1237670964308410677,132.684367240118,11.7233018605451,19.04117,17.2048,16.43197,16.11138,15.9659,0.02166289,0.004449407,0.004170018,0.004329367,0.006365839
1237670964308410685,132.696342731317,11.7152160779823,15.67156,14.39817,13.99157,13.85205,13.85209,0.004669776,0.002988717,0.00347047,0.003646506,0.003876823
1237670964308410686,132.692029863334,11.7189593178426,15.20388,15.29812,15.01187,14.88569,13.51664,0.005338656,0.01038543,0.01073245,0.01084896,0.005804771
1237670964308410687,132.69606915935,11.7249921435425,17.86922,16.62947,16.19718,16.03982,16.0135,0.01145457,0.003824823,0.004048928,0.004330609,0.006494928
1237670964308410688,132.694361819831,11.726977101413,25.09157,24.2465,21.95316,20.51789,19.6234,0.7933615,0.4597655,0.103162,0.04512531,0.0705512
1237670964308410691,132.690248741398,11.7153772385741,24.32893,23.7817,24.20642,21.82961,22.68579,0.9477997,0.3773058,0.6705862,0.1605208,0.7114013
1237670964308410693,132.687768775602,11.7209307315373,24.64898,25.32904,22.81617,23.10064,22.81304,0.9430677,0.6347458,0.2383309,0.4427108,0.6856228
1237670964308410694,132.687321581251,11.7203710196534,21.82123,24.86844,25.06702,22.46634,23.06938,0.1564826,0.6161509,0.6806507,0.2555078,0.638378
1237670964308410695,132.68844255474,11.7206499860252,21.79802,25.3276,23.72828,22.27213,22.21822,0.168277,0.6862597,0.5281919,0.2447296,0.6452634
1237670964308410696,132.695083253603,11.7227165144852,22.06889,24.9078,24.46952,23.16739,22.9951,0.2100708,0.6890908,0.7690271,0.5071447,0.7384251
1237670964308410697,132.698877416682,11.7238192534376,22.20847,24.52177,25.10834,23.79412,22.80231,0.2094933,0.531863,0.6391755,0.6105471,0.6192943
1237670964308410698,132.689345490877,11.7209872511646,22.55104,25.12711,23.79702,23.76005,23.04226,0.2811422,0.6043529,0.4646126,0.6048377,0.6050079
1237670964308410699,132.700086758158,11.7239081491529,22.3599,24.98021,24.62769,23.61962,22.79983,0.2406097,0.6015964,0.6580329,0.5617211,0.6192443
1237670964308410716,132.687476036538,11.7625669684476,18.75194,17.69542,17.64906,17.64017,17.74476,0.01823832,0.005224232,0.005898613,0.006877041,0.01663298
1237670964308410718,132.710588932723,11.6879690966948,18.95733,17.54364,17.01328,16.82261,16.76076,0.02043147,0.004940011,0.004804469,0.005107304,0.009251545
1237670964308410850,132.67123700064,11.759229823812,22.75788,19.98737,18.53657,17.51358,16.96551,0.3283807,0.01705384,0.008763746,0.006528745,0.01032213
1237670964308410856,132.682100302225,11.7574032296164,19.31782,17.02892,16.10448,15.77735,15.62749,0.02553443,0.00424503,0.003963554,0.004166493,0.005621398
1237670964308410864,132.699316193416,11.7094945802267,22.65133,19.44475,18.07264,17.22854,16.74255,0.2944849,0.01224401,0.007029984,0.005857234,0.009110927
1237670964308410866,132.701382341033,11.7084262160269,24.07237,21.71915,20.47228,19.06252,18.22211,0.8028203,0.06208534,0.03122672,0.01533064,0.02358926
1237670964308410871,132.705349057685,11.7017309006817,24.35025,24.46995,22.29026,21.69164,20.66499,0.9003685,0.5457845,0.1466754,0.1321061,0.1851844
1237670964308410873,132.706479740711,11.70264415174,24.12934,24.36798,22.92171,23.79392,22.84702,0.7979951,0.4983542,0.237676,0.6135755,0.6234825
1237670964308411360,132.694047233817,11.7353535546699,25.67743,23.19828,23.15944,22.80942,22.88498,0.5777216,0.2113872,0.2886756,0.3186553,0.6166636
1237670964308411361,132.684201048254,11.770173173516,25.06026,22.92498,22.54629,22.19311,21.69569,0.9162731,0.1862844,0.1991223,0.2245157,0.4614456
1237670964308411524,132.708173928341,11.6919853851184,24.16677,23.80731,22.1303,20.71313,20.08522,0.9331906,0.3956171,0.1437994,0.06344604,0.1275017
