#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 2.000 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   5  0.114994  3.5051  5.2484 -2.7759 17.8742 14.7387 13.2327 11.9710 11.2505
   6  0.133750  3.5051  5.1827 -2.6446 17.4979 14.4034 12.9052 11.6449 10.9238
   7  0.168730  3.5078  5.1036 -2.4540 16.8951 13.8714 12.3916 11.1552 10.4455
   8  0.222613  3.5165  5.0413 -2.2366 16.1089 13.1799 11.7360 10.5668  9.8943
   9  0.276129  3.5240  4.9968 -2.0685 15.5090 12.6416 11.2271 10.1106  9.4690
  10  0.302389  3.5274  4.9754 -1.9939 15.2504 12.4058 11.0043  9.9095  9.2812
  11  0.311374  3.5285  4.9659 -1.9673 15.1603 12.3236 10.9264  9.8385  9.2141
  12  0.316506  3.5291  4.9589 -1.9508 15.1065 12.2743 10.8797  9.7952  9.1730
  13  0.319851  3.5295  4.9535 -1.9392 15.0683 12.2395 10.8469  9.7645  9.1437
  14  0.322395  3.5298  4.9486 -1.9298 15.0392 12.2129 10.8215  9.7404  9.1204
  15  0.324265  3.5300  4.9449 -1.9226 15.0160 12.1917 10.8015  9.7216  9.1024
  16  0.326233  3.5302  4.9411 -1.9154 14.9932 12.1708 10.7816  9.7029  9.0844
  17  0.328296  3.5304  4.9376 -1.9082 14.9700 12.1495 10.7613  9.6839  9.0663
  18  0.331259  3.5308  4.9336 -1.8988 14.9399 12.1220 10.7350  9.6595  9.0429
  19  0.336607  3.5313  4.9284 -1.8840 14.8913 12.0772 10.6924  9.6205  9.0060
  20  0.445528  3.5497  4.8432 -1.6042 13.9183 11.1547  9.8188  8.8524  8.3071
  21  0.464565  3.5539  4.8247 -1.5509 13.7363 10.9752  9.6469  8.7032  8.1750
  22  0.481044  3.5578  4.8085 -1.5038 13.5753 10.8136  9.4914  8.5712  8.0590
  23  0.495627  3.5616  4.7944 -1.4615 13.4303 10.6656  9.3482  8.4532  7.9560
  24  0.508352  3.5651  4.7826 -1.4244 13.3020 10.5323  9.2187  8.3486  7.8657
  25  0.518592  3.5683  4.7733 -1.3940 13.1968 10.4216  9.1107  8.2626  7.7924
  26  0.528090  3.5713  4.7649 -1.3656 13.0986 10.3170  9.0083  8.1814  7.7238
  27  0.538595  3.5748  4.7560 -1.3341 12.9896 10.1997  8.8930  8.0908  7.6480
  28  0.552341  3.5794  4.7444 -1.2930 12.8477 10.0456  8.7410  7.9724  7.5496
  29  0.569995  3.5858  4.7296 -1.2396 12.6598  9.8405  8.5374  7.8168  7.4226
  30  0.589874  3.5932  4.7139 -1.1788 12.4486  9.6055  8.3073  7.6401  7.2783
  31  0.611826  3.6022  4.6988 -1.1123 12.2165  9.3430  8.0584  7.4471  7.1197
  32  0.623465  3.6071  4.6891 -1.0736 12.1081  9.1940  7.9086  7.3345  7.0314
  33  0.650440  3.6191  4.6737 -0.9920 11.8065  8.8582  7.5981  7.0973  6.8406
  34  0.689233  3.6372  4.6554 -0.8764 11.2808  8.3545  7.1657  6.7614  6.5645
  35  0.873791  3.7174  4.5840 -0.3816  8.3569  6.3132  5.6073  5.4263  5.3615
  36  0.887879  3.7228  4.5768 -0.3463  8.1612  6.1883  5.5097  5.3382  5.2808
  37  0.902554  3.7280  4.5692 -0.3102  7.9644  6.0644  5.4113  5.2487  5.1981
  38  0.917450  3.7333  4.5610 -0.2742  7.7727  5.9436  5.3142  5.1599  5.1158
  39  0.932242  3.7382  4.5524 -0.2388  7.5917  5.8262  5.2201  5.0740  5.0362
  40  0.946386  3.7428  4.5438 -0.2053  7.4266  5.7173  5.1326  4.9938  4.9615
  41  0.960111  3.7471  4.5350 -0.1732  7.2727  5.6145  5.0492  4.9172  4.8900
  42  0.973549  3.7510  4.5260 -0.1421  7.1273  5.5159  4.9689  4.8431  4.8209
  43  0.987130  3.7550  4.5165 -0.1108  6.9855  5.4183  4.8889  4.7693  4.7517
  44  1.001279  3.7589  4.5062 -0.0785  6.8427  5.3189  4.8070  4.6935  4.6805
  45  1.016095  3.7630  4.4950 -0.0450  6.6988  5.2171  4.7225  4.6150  4.6068
  46  1.030903  3.7667  4.4833 -0.0119  6.5603  5.1172  4.6391  4.5375  4.5337
  47  1.043127  3.7698  4.4732  0.0157  6.4505  5.0358  4.5707  4.4736  4.4733
  48  1.059498  3.7737  4.4594  0.0517  6.3069  4.9293  4.4807  4.3896  4.3937
  49  1.068344  3.7760  4.4513  0.0730  6.2225  4.8665  4.4279  4.3403  4.3472
  50  1.084156  3.7796  4.4372  0.1079  6.0864  4.7636  4.3422  4.2604  4.2716
  51  1.098907  3.7829  4.4241  0.1403  5.9613  4.6689  4.2635  4.1867  4.2018
