#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   7  0.119160  3.5051  5.2323 -2.7445 17.7846 14.6589 13.1547 11.8931 11.1724
   8  0.140299  3.5052  5.1632 -2.6037 17.3774 14.2963 12.8010 11.5424 10.8219
   9  0.180986  3.5098  5.0866 -2.3983 16.6935 13.6954 12.2245 11.0048 10.3040
  10  0.227835  3.5172  5.0343 -2.2164 16.0369 13.1162 11.6757 10.5124  9.8433
  11  0.266944  3.5228  4.9992 -2.0904 15.5886 12.7144 11.2958 10.1712  9.5248
  12  0.293931  3.5263  4.9769 -2.0121 15.3160 12.4664 11.0616  9.9597  9.3270
  13  0.305281  3.5277  4.9652 -1.9781 15.2008 12.3613 10.9621  9.8690  9.2418
  14  0.311780  3.5285  4.9572 -1.9578 15.1335 12.2998 10.9039  9.8153  9.1909
  15  0.316002  3.5290  4.9513 -1.9441 15.0883 12.2584 10.8648  9.7790  9.1564
  16  0.319042  3.5294  4.9465 -1.9338 15.0548 12.2278 10.8357  9.7520  9.1304
  17  0.321361  3.5297  4.9424 -1.9254 15.0281 12.2034 10.8126  9.7302  9.1097
  18  0.323274  3.5299  4.9389 -1.9183 15.0056 12.1827 10.7930  9.7118  9.0920
  19  0.325274  3.5302  4.9352 -1.9112 14.9828 12.1620 10.7732  9.6932  9.0741
  20  0.328047  3.5305  4.9311 -1.9018 14.9522 12.1339 10.7467  9.6686  9.0507
  21  0.330396  3.5306  4.9268 -1.8937 14.9270 12.1108 10.7247  9.6476  9.0303
  22  0.330748  3.5306  4.9267 -1.8928 14.9248 12.1088 10.7218  9.6455  9.0281
  23  0.340368  3.5317  4.9198 -1.8689 14.8432 12.0338 10.6510  9.5812  8.9679
  24  0.465945  3.5541  4.8194 -1.5431 13.7132 10.9526  9.6252  8.6829  8.1556
  25  0.482849  3.5583  4.8028 -1.4946 13.5475 10.7860  9.4648  8.5472  8.0365
  26  0.497799  3.5622  4.7884 -1.4512 13.3987 10.6335  9.3171  8.4258  7.9308
  27  0.510366  3.5658  4.7768 -1.4143 13.2712 10.5007  9.1879  8.3218  7.8413
  28  0.520554  3.5690  4.7675 -1.3839 13.1661 10.3896  9.0794  8.2356  7.7679
  29  0.530291  3.5721  4.7589 -1.3546 13.0646 10.2812  8.9731  8.1515  7.6971
  30  0.541614  3.5759  4.7492 -1.3205 12.9468 10.1539  8.8480  8.0534  7.6152
  31  0.556711  3.5811  4.7364 -1.2751 12.7893  9.9825  8.6785  7.9220  7.5065
  32  0.575144  3.5878  4.7211 -1.2186 12.5906  9.7648  8.4623  7.7574  7.3727
  33  0.595107  3.5956  4.7054 -1.1571 12.3800  9.5274  8.2324  7.5796  7.2265
  34  0.616305  3.6044  4.6909 -1.0922 12.1513  9.2686  7.9870  7.3904  7.0722
  35  0.629600  3.6102  4.6807 -1.0488 12.0150  9.0977  7.8196  7.2643  6.9729
  36  0.655830  3.6221  4.6658 -0.9687 11.7155  8.7670  7.5175  7.0323  6.7853
  37  0.690551  3.6386  4.6494 -0.8640 11.2250  8.3077  7.1265  6.7279  6.5346
  38  0.830608  3.7025  4.5938 -0.4727  8.8938  6.6540  5.8677  5.6574  5.5724
  39  0.847999  3.7093  4.5854 -0.4283  8.6389  6.4890  5.7404  5.5440  5.4684
  40  0.863376  3.7153  4.5777 -0.3888  8.4154  6.3454  5.6292  5.4443  5.3768
  41  0.876286  3.7204  4.5707 -0.3554  8.2300  6.2266  5.5364  5.3608  5.3000
  42  0.888532  3.7250  4.5637 -0.3238  8.0585  6.1171  5.4499  5.2823  5.2278
  43  0.900912  3.7294  4.5562 -0.2923  7.8898  6.0109  5.3646  5.2043  5.1555
  44  0.913379  3.7338  4.5484 -0.2609  7.7266  5.9070  5.2807  5.1275  5.0840
  45  0.925662  3.7380  4.5403 -0.2304  7.5727  5.8063  5.1998  5.0533  5.0151
  46  0.937818  3.7420  4.5318 -0.2003  7.4260  5.7089  5.1210  4.9810  4.9478
  47  0.949785  3.7458  4.5233 -0.1709  7.2863  5.6149  5.0446  4.9106  4.8820
